number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,545.7139127359792,2025-10-11 12:46:20.091757,2025-10-11 12:46:20.401868,0 days 00:00:00.310111,0.731662438196403,0.01641582608754013,7,820,27,7.569480578603388,0.1563469217857382,0.7236034731139405,COMPLETE
1,671.5303655054361,2025-10-11 12:46:20.402371,2025-10-11 12:46:20.916328,0 days 00:00:00.513957,0.6467133946935518,0.0020310152386581624,3,1152,33,0.005195136564724355,9.371932640342595e-07,0.9903004417093285,COMPLETE
2,549.0856238666909,2025-10-11 12:46:20.917020,2025-10-11 12:46:21.344756,0 days 00:00:00.427736,0.9541022833399143,0.010548986727508406,4,1167,119,7.309608809379749e-07,9.07580425220854e-07,0.706530165387501,COMPLETE
3,524.2546216028261,2025-10-11 12:46:21.344756,2025-10-11 12:46:21.689137,0 days 00:00:00.344381,0.7146822570858972,0.16649763586032407,14,990,29,0.5028335921233805,1.3148144539757892e-05,0.8302055211412772,COMPLETE
4,582.0565040111312,2025-10-11 12:46:21.689137,2025-10-11 12:46:21.851750,0 days 00:00:00.162613,0.7238421566423591,0.01778737633527014,12,380,81,1.4633504574583607,0.011687175611682258,0.9249015474125527,COMPLETE
5,656.6798745616449,2025-10-11 12:46:21.851750,2025-10-11 12:46:22.088633,0 days 00:00:00.236883,0.8465902611947722,0.004258185202764269,12,636,47,6.195642552662293e-08,6.560624251079209e-08,0.9009106211644939,COMPLETE
6,528.2185016177247,2025-10-11 12:46:22.089633,2025-10-11 12:46:22.349645,0 days 00:00:00.260012,0.6038794219658382,0.03744049907532525,7,694,19,5.742207254964606e-07,0.10577585894541147,0.7890233027582799,COMPLETE
7,539.4994085775598,2025-10-11 12:46:22.349645,2025-10-11 12:46:22.543172,0 days 00:00:00.193527,0.6422131210000052,0.036003572502674344,10,442,89,6.905789552265794e-05,1.9365559608823067e-08,0.7076833360675441,COMPLETE
8,695.8019844496255,2025-10-11 12:46:22.543172,2025-10-11 12:46:22.830251,0 days 00:00:00.287079,0.8141032032820055,0.002864002382139961,11,643,101,0.013439339055223362,0.00017351092350309584,0.7148592368252931,COMPLETE
9,645.0170947067188,2025-10-11 12:46:22.830251,2025-10-11 12:46:22.990264,0 days 00:00:00.160013,0.6938576799295031,0.010055896703586331,1,381,120,0.004648065150428593,0.5246587772607227,0.9335889599596239,COMPLETE
10,527.7291306256059,2025-10-11 12:46:22.991766,2025-10-11 12:46:23.367203,0 days 00:00:00.375437,0.8764709918854501,0.19174219981492543,16,936,59,0.26773817898615837,0.00010556362380685144,0.623965769575475,COMPLETE
11,529.5760126246059,2025-10-11 12:46:23.368202,2025-10-11 12:46:23.842238,0 days 00:00:00.474036,0.8952346992805951,0.18363327287836573,16,941,57,0.2716604629247599,0.0001238377526804244,0.6411085210740598,COMPLETE
12,527.6342949967485,2025-10-11 12:46:23.842741,2025-10-11 12:46:24.278227,0 days 00:00:00.435486,0.9916126624155672,0.17385126426148798,16,1000,58,0.2293523858482943,9.287155822711072e-06,0.6010851028981327,COMPLETE
13,523.0323266446112,2025-10-11 12:46:24.279228,2025-10-11 12:46:24.688698,0 days 00:00:00.409470,0.9652770094114533,0.07634190522072017,14,1015,38,0.00012420820843930455,4.07934659846926e-06,0.8299869343069257,COMPLETE
14,519.913508622878,2025-10-11 12:46:24.688698,2025-10-11 12:46:25.092480,0 days 00:00:00.403782,0.7550540337601548,0.06993537923201658,14,1036,39,4.9707573807158943e-05,0.0027471426599518594,0.8341490127598054,COMPLETE
15,520.3204152144759,2025-10-11 12:46:25.093484,2025-10-11 12:46:25.482775,0 days 00:00:00.389291,0.7790852608773138,0.06581040030924057,9,1075,43,5.197859053137589e-05,0.0051791352848224404,0.8314294201164477,COMPLETE
16,523.2583052084134,2025-10-11 12:46:25.482775,2025-10-11 12:46:25.922754,0 days 00:00:00.439979,0.7763717249477486,0.07594786891558927,9,822,71,7.2525528371621455e-06,7.699716949579192,0.8666209328446508,COMPLETE
17,520.0720278164816,2025-10-11 12:46:25.923256,2025-10-11 12:46:26.335078,0 days 00:00:00.411822,0.7680765621534364,0.0656312887020547,6,1085,44,1.280466708136131e-05,0.0045206093032629235,0.7782436732051872,COMPLETE
18,522.8022539138469,2025-10-11 12:46:26.335078,2025-10-11 12:46:26.871633,0 days 00:00:00.536555,0.812294448620123,0.033497882777011184,5,1199,70,4.187096161899583e-06,0.0044815378837924245,0.7699034236309179,COMPLETE
19,784.5417212974253,2025-10-11 12:46:26.872148,2025-10-11 12:46:27.165850,0 days 00:00:00.293702,0.7632475447723283,0.0011693066330194359,1,839,20,1.6053330930140717e-08,0.0007507706582536365,0.7561275387717721,COMPLETE
20,525.3578007851177,2025-10-11 12:46:27.165850,2025-10-11 12:46:27.559839,0 days 00:00:00.393989,0.670029208406323,0.0928252049607665,6,1083,53,0.0008988140238924578,0.03246408288883555,0.6681005702945961,COMPLETE
21,520.9748252372985,2025-10-11 12:46:27.560342,2025-10-11 12:46:27.966537,0 days 00:00:00.406195,0.7661244573553029,0.05642706576253242,9,1105,43,1.5991307644458675e-05,0.001829476583900451,0.8401587008986944,COMPLETE
22,530.6152737982662,2025-10-11 12:46:27.966537,2025-10-11 12:46:28.367064,0 days 00:00:00.400527,0.8354953706278168,0.02496662750130558,-1,1078,44,0.0004502224471419375,0.970752246012131,0.86655599949646,COMPLETE
23,521.818648453092,2025-10-11 12:46:28.367064,2025-10-11 12:46:28.696392,0 days 00:00:00.329328,0.7830449232601648,0.05619651300133311,8,904,35,8.685712155500013e-07,0.008129621620919665,0.7966568480693402,COMPLETE
24,523.6078367259763,2025-10-11 12:46:28.697393,2025-10-11 12:46:29.078072,0 days 00:00:00.380679,0.734937638475382,0.10815559213496713,14,1050,16,4.4956037401732916e-05,0.0011374933123364636,0.7434635333427582,COMPLETE
